ArresteeID,arrests__arrest_year,ArrestNumber,arrests__weapon
102433987.0,2018,18-000685,None
101478809.0,2018,18-029906,Handgun
101478809.0,2017,17-051344,None
101306286.0,2018,18-008384,Unarmed
101573625.0,2020,20-014425,Unarmed
101573625.0,2018,18-010513,Unarmed
101573625.0,2020,20-039231,Unarmed
101794266.0,2018,18-036285,Unarmed
15413475.0,2018,18-029909,Unarmed
100940120.0,2018,18-043418,Unarmed
100940120.0,2020,20-024113,Unarmed
101654254.0,2019,19-040412,Unarmed
101654254.0,2018,18-019524,Lethal Cutting Instrument
101641057.0,2018,18-018075,Unarmed
101527050.0,2018,18-005453,Unarmed
101774581.0,2020,20-029430,Handgun
102128725.0,2020,20-029430,Handgun
102454062.0,2020,20-029430,Handgun
101774581.0,2018,18-033958,Handgun
102128725.0,2018,18-033958,Handgun
102454062.0,2018,18-033958,Handgun
101774581.0,2019,19-034700,Unarmed
102128725.0,2019,19-034700,Unarmed
102454062.0,2019,19-034700,Unarmed
101774581.0,2017,17-048054,Hands/Feet
102128725.0,2017,17-048054,Hands/Feet
102454062.0,2017,17-048054,Hands/Feet
101903346.0,2019,19-010097,Unarmed
101930737.0,2019,19-010097,Unarmed
101726206.0,2019,19-010097,Unarmed
101946500.0,2019,19-010097,Unarmed
101903346.0,2019,19-004109,Unarmed
101930737.0,2019,19-004109,Unarmed
101726206.0,2019,19-004109,Unarmed
101946500.0,2019,19-004109,Unarmed
101903346.0,2019,19-007982,Unarmed
101930737.0,2019,19-007982,Unarmed
101726206.0,2019,19-007982,Unarmed
101946500.0,2019,19-007982,Unarmed
101903346.0,2018,18-028132,Unarmed
101930737.0,2018,18-028132,Unarmed
101726206.0,2018,18-028132,Unarmed
101946500.0,2018,18-028132,Unarmed
12870942.0,2019,19-018538,Handgun
102011694.0,2019,19-018538,Handgun
12870942.0,2018,18-038885,Unarmed
102011694.0,2018,18-038885,Unarmed
10051093.0,2018,18-027678,Unarmed
101836044.0,2018,18-041215,Unarmed
101542365.0,2019,19-024967,Unarmed
101542365.0,2019,19-021999,Unarmed
101542365.0,2018,18-007087,Unarmed
101832230.0,2018,18-042375,Unarmed
101832230.0,2018,18-040724,Unarmed
101857263.0,2019,19-031141,Unarmed
101857263.0,2018,18-043883,Unarmed
9309560.0,2019,19-031582,Unarmed
9309560.0,2018,18-028069,Unarmed
102454087.0,2020,20-029447,Unarmed
102446771.0,2020,20-029447,Unarmed
102456636.0,2020,20-029447,Unarmed
101653919.0,2020,20-029447,Unarmed
102454087.0,2020,20-028484,Unarmed
102446771.0,2020,20-028484,Unarmed
102456636.0,2020,20-028484,Unarmed
101653919.0,2020,20-028484,Unarmed
102454087.0,2020,20-029784,Unarmed
102446771.0,2020,20-029784,Unarmed
102456636.0,2020,20-029784,Unarmed
101653919.0,2020,20-029784,Unarmed
102454087.0,2020,20-020771,Unarmed
102446771.0,2020,20-020771,Unarmed
102456636.0,2020,20-020771,Unarmed
101653919.0,2020,20-020771,Unarmed
102454087.0,2020,20-021756,Unarmed
102446771.0,2020,20-021756,Unarmed
102456636.0,2020,20-021756,Unarmed
101653919.0,2020,20-021756,Unarmed
102454087.0,2020,20-021623,Unarmed
102446771.0,2020,20-021623,Unarmed
102456636.0,2020,20-021623,Unarmed
101653919.0,2020,20-021623,Unarmed
102454087.0,2018,18-019453,Unarmed
102446771.0,2018,18-019453,Unarmed
102456636.0,2018,18-019453,Unarmed
101653919.0,2018,18-019453,Unarmed
101661447.0,2018,18-020362,Unarmed
101749287.0,2018,18-030935,Unarmed
10703777.0,2019,19-028802,Unarmed
10703777.0,2018,18-035905,Unarmed
101900693.0,2019,19-001715,Unarmed
101875561.0,2019,19-001715,Unarmed
101793108.0,2019,19-001715,Unarmed
101942145.0,2019,19-001715,Unarmed
101900693.0,2019,19-009592,Unarmed
101875561.0,2019,19-009592,Unarmed
101793108.0,2019,19-009592,Unarmed
101942145.0,2019,19-009592,Unarmed
101900693.0,2019,19-003748,Unarmed
101875561.0,2019,19-003748,Unarmed
101793108.0,2019,19-003748,Unarmed
101942145.0,2019,19-003748,Unarmed
101900693.0,2019,19-000369,Unarmed
101875561.0,2019,19-000369,Unarmed
101793108.0,2019,19-000369,Unarmed
101942145.0,2019,19-000369,Unarmed
101900693.0,2018,18-036124,Unarmed
101875561.0,2018,18-036124,Unarmed
101793108.0,2018,18-036124,Unarmed
101942145.0,2018,18-036124,Unarmed
101779000.0,2019,19-009288,Unarmed
101982269.0,2019,19-009288,Unarmed
101940001.0,2019,19-009288,Unarmed
101779000.0,2019,19-014665,Unarmed
101982269.0,2019,19-014665,Unarmed
101940001.0,2019,19-014665,Unarmed
101779000.0,2018,18-034440,Unarmed
101982269.0,2018,18-034440,Unarmed
101940001.0,2018,18-034440,Unarmed
101153571.0,2019,19-028658,Unarmed
102208689.0,2019,19-028658,Unarmed
101653004.0,2019,19-028658,Unarmed
102085332.0,2019,19-028658,Unarmed
102083235.0,2019,19-028658,Unarmed
101747578.0,2019,19-028658,Unarmed
101591297.0,2019,19-028658,Unarmed
102040578.0,2019,19-028658,Unarmed
102032913.0,2019,19-028658,Unarmed
101949312.0,2019,19-028658,Unarmed
101153571.0,2019,19-022416,Unarmed
102208689.0,2019,19-022416,Unarmed
101653004.0,2019,19-022416,Unarmed
102085332.0,2019,19-022416,Unarmed
102083235.0,2019,19-022416,Unarmed
101747578.0,2019,19-022416,Unarmed
101591297.0,2019,19-022416,Unarmed
102040578.0,2019,19-022416,Unarmed
102032913.0,2019,19-022416,Unarmed
101949312.0,2019,19-022416,Unarmed
101153571.0,2019,19-010457,Unarmed
102208689.0,2019,19-010457,Unarmed
101653004.0,2019,19-010457,Unarmed
102085332.0,2019,19-010457,Unarmed
102083235.0,2019,19-010457,Unarmed
101747578.0,2019,19-010457,Unarmed
101591297.0,2019,19-010457,Unarmed
102040578.0,2019,19-010457,Unarmed
102032913.0,2019,19-010457,Unarmed
101949312.0,2019,19-010457,Unarmed
101153571.0,2019,19-021354,Unarmed
102208689.0,2019,19-021354,Unarmed
101653004.0,2019,19-021354,Unarmed
102085332.0,2019,19-021354,Unarmed
102083235.0,2019,19-021354,Unarmed
101747578.0,2019,19-021354,Unarmed
101591297.0,2019,19-021354,Unarmed
102040578.0,2019,19-021354,Unarmed
102032913.0,2019,19-021354,Unarmed
101949312.0,2019,19-021354,Unarmed
101153571.0,2017,17-007288,None
102208689.0,2017,17-007288,None
101653004.0,2017,17-007288,None
102085332.0,2017,17-007288,None
102083235.0,2017,17-007288,None
101747578.0,2017,17-007288,None
101591297.0,2017,17-007288,None
102040578.0,2017,17-007288,None
102032913.0,2017,17-007288,None
101949312.0,2017,17-007288,None
101153571.0,2019,19-028390,Unarmed
102208689.0,2019,19-028390,Unarmed
101653004.0,2019,19-028390,Unarmed
102085332.0,2019,19-028390,Unarmed
102083235.0,2019,19-028390,Unarmed
101747578.0,2019,19-028390,Unarmed
101591297.0,2019,19-028390,Unarmed
102040578.0,2019,19-028390,Unarmed
102032913.0,2019,19-028390,Unarmed
101949312.0,2019,19-028390,Unarmed
101153571.0,2018,18-019339,Unarmed
102208689.0,2018,18-019339,Unarmed
101653004.0,2018,18-019339,Unarmed
102085332.0,2018,18-019339,Unarmed
102083235.0,2018,18-019339,Unarmed
101747578.0,2018,18-019339,Unarmed
101591297.0,2018,18-019339,Unarmed
102040578.0,2018,18-019339,Unarmed
102032913.0,2018,18-019339,Unarmed
101949312.0,2018,18-019339,Unarmed
101153571.0,2019,19-044904,Unarmed
102208689.0,2019,19-044904,Unarmed
101653004.0,2019,19-044904,Unarmed
102085332.0,2019,19-044904,Unarmed
102083235.0,2019,19-044904,Unarmed
101747578.0,2019,19-044904,Unarmed
101591297.0,2019,19-044904,Unarmed
102040578.0,2019,19-044904,Unarmed
102032913.0,2019,19-044904,Unarmed
101949312.0,2019,19-044904,Unarmed
101153571.0,2018,18-030742,Unarmed
102208689.0,2018,18-030742,Unarmed
101653004.0,2018,18-030742,Unarmed
102085332.0,2018,18-030742,Unarmed
102083235.0,2018,18-030742,Unarmed
101747578.0,2018,18-030742,Unarmed
101591297.0,2018,18-030742,Unarmed
102040578.0,2018,18-030742,Unarmed
102032913.0,2018,18-030742,Unarmed
101949312.0,2018,18-030742,Unarmed
101153571.0,2019,19-007806,Unarmed
102208689.0,2019,19-007806,Unarmed
101653004.0,2019,19-007806,Unarmed
102085332.0,2019,19-007806,Unarmed
102083235.0,2019,19-007806,Unarmed
101747578.0,2019,19-007806,Unarmed
101591297.0,2019,19-007806,Unarmed
102040578.0,2019,19-007806,Unarmed
102032913.0,2019,19-007806,Unarmed
101949312.0,2019,19-007806,Unarmed
101153571.0,2018,18-012573,Unarmed
102208689.0,2018,18-012573,Unarmed
101653004.0,2018,18-012573,Unarmed
102085332.0,2018,18-012573,Unarmed
102083235.0,2018,18-012573,Unarmed
101747578.0,2018,18-012573,Unarmed
101591297.0,2018,18-012573,Unarmed
102040578.0,2018,18-012573,Unarmed
102032913.0,2018,18-012573,Unarmed
101949312.0,2018,18-012573,Unarmed
101824781.0,2019,19-016682,Handgun
101997692.0,2019,19-016682,Handgun
101824781.0,2018,18-039786,Handgun
101997692.0,2018,18-039786,Handgun
102134063.0,2019,19-007328,Unarmed
101652026.0,2019,19-007328,Unarmed
101925978.0,2019,19-007328,Unarmed
102134063.0,2019,19-035428,Unarmed
101652026.0,2019,19-035428,Unarmed
101925978.0,2019,19-035428,Unarmed
102134063.0,2018,18-019220,Unarmed
101652026.0,2018,18-019220,Unarmed
101925978.0,2018,18-019220,Unarmed
101517498.0,2020,20-014036,Unarmed
101517498.0,2018,18-004326,Other
101230097.0,2019,19-035505,Knife - Pocket
42000755.0,2019,19-035505,Knife - Pocket
101484105.0,2019,19-035505,Knife - Pocket
101230097.0,2018,18-000070,Knife - Pocket
42000755.0,2018,18-000070,Knife - Pocket
101484105.0,2018,18-000070,Knife - Pocket
101230097.0,2017,17-018066,None
42000755.0,2017,17-018066,None
101484105.0,2017,17-018066,None
101869857.0,2019,19-026349,Unarmed
101922770.0,2019,19-026349,Unarmed
102068149.0,2019,19-026349,Unarmed
101874431.0,2019,19-026349,Unarmed
101869857.0,2019,19-006884,Unarmed
101922770.0,2019,19-006884,Unarmed
102068149.0,2019,19-006884,Unarmed
101874431.0,2019,19-006884,Unarmed
101869857.0,2018,18-045577,Unarmed
101922770.0,2018,18-045577,Unarmed
102068149.0,2018,18-045577,Unarmed
101874431.0,2018,18-045577,Unarmed
101869857.0,2019,19-000284,Unarmed
101922770.0,2019,19-000284,Unarmed
102068149.0,2019,19-000284,Unarmed
101874431.0,2019,19-000284,Unarmed
102162206.0,2020,20-009153,Unarmed
102270105.0,2020,20-009153,Unarmed
102290494.0,2020,20-009153,Unarmed
101594282.0,2020,20-009153,Unarmed
102162206.0,2020,20-006329,Unarmed
102270105.0,2020,20-006329,Unarmed
102290494.0,2020,20-006329,Unarmed
101594282.0,2020,20-006329,Unarmed
102162206.0,2019,19-038876,Unarmed
102270105.0,2019,19-038876,Unarmed
102290494.0,2019,19-038876,Unarmed
101594282.0,2019,19-038876,Unarmed
102162206.0,2018,18-012876,Unarmed
102270105.0,2018,18-012876,Unarmed
102290494.0,2018,18-012876,Unarmed
101594282.0,2018,18-012876,Unarmed
101654700.0,2019,19-002862,Unarmed
101623477.0,2019,19-002862,Unarmed
101714182.0,2019,19-002862,Unarmed
101734605.0,2019,19-002862,Unarmed
101894315.0,2019,19-002862,Unarmed
101868555.0,2019,19-002862,Unarmed
101881331.0,2019,19-002862,Unarmed
101534041.0,2019,19-002862,Unarmed
101654700.0,2019,19-001151,Unarmed
101623477.0,2019,19-001151,Unarmed
101714182.0,2019,19-001151,Unarmed
101734605.0,2019,19-001151,Unarmed
101894315.0,2019,19-001151,Unarmed
101868555.0,2019,19-001151,Unarmed
101881331.0,2019,19-001151,Unarmed
101534041.0,2019,19-001151,Unarmed
101654700.0,2018,18-006087,Unarmed
101623477.0,2018,18-006087,Unarmed
101714182.0,2018,18-006087,Unarmed
101734605.0,2018,18-006087,Unarmed
101894315.0,2018,18-006087,Unarmed
101868555.0,2018,18-006087,Unarmed
101881331.0,2018,18-006087,Unarmed
101534041.0,2018,18-006087,Unarmed
101654700.0,2018,18-026627,Unarmed
101623477.0,2018,18-026627,Unarmed
101714182.0,2018,18-026627,Unarmed
101734605.0,2018,18-026627,Unarmed
101894315.0,2018,18-026627,Unarmed
101868555.0,2018,18-026627,Unarmed
101881331.0,2018,18-026627,Unarmed
101534041.0,2018,18-026627,Unarmed
101654700.0,2018,18-029105,Unarmed
101623477.0,2018,18-029105,Unarmed
101714182.0,2018,18-029105,Unarmed
101734605.0,2018,18-029105,Unarmed
101894315.0,2018,18-029105,Unarmed
101868555.0,2018,18-029105,Unarmed
101881331.0,2018,18-029105,Unarmed
101534041.0,2018,18-029105,Unarmed
101654700.0,2018,18-019565,Unarmed
101623477.0,2018,18-019565,Unarmed
101714182.0,2018,18-019565,Unarmed
101734605.0,2018,18-019565,Unarmed
101894315.0,2018,18-019565,Unarmed
101868555.0,2018,18-019565,Unarmed
101881331.0,2018,18-019565,Unarmed
101534041.0,2018,18-019565,Unarmed
101654700.0,2018,18-045410,Unarmed
101623477.0,2018,18-045410,Unarmed
101714182.0,2018,18-045410,Unarmed
101734605.0,2018,18-045410,Unarmed
101894315.0,2018,18-045410,Unarmed
101868555.0,2018,18-045410,Unarmed
101881331.0,2018,18-045410,Unarmed
101534041.0,2018,18-045410,Unarmed
101654700.0,2018,18-016112,Unarmed
101623477.0,2018,18-016112,Unarmed
101714182.0,2018,18-016112,Unarmed
101734605.0,2018,18-016112,Unarmed
101894315.0,2018,18-016112,Unarmed
101868555.0,2018,18-016112,Unarmed
101881331.0,2018,18-016112,Unarmed
101534041.0,2018,18-016112,Unarmed
101634575.0,2018,18-017265,Unarmed
101219253.0,2018,18-045418,Unarmed
101659670.0,2018,18-020126,Unarmed
101625828.0,2020,20-024076,Unarmed
102412712.0,2020,20-024076,Unarmed
101623493.0,2020,20-024076,Unarmed
101625828.0,2018,18-016402,Unarmed
102412712.0,2018,18-016402,Unarmed
101623493.0,2018,18-016402,Unarmed
101625828.0,2018,18-016115,Unarmed
102412712.0,2018,18-016115,Unarmed
101623493.0,2018,18-016115,Unarmed
102294988.0,2020,20-009696,Unarmed
101644147.0,2020,20-009696,Unarmed
101335990.0,2020,20-009696,Unarmed
102294988.0,2018,18-018385,Unarmed
101644147.0,2018,18-018385,Unarmed
101335990.0,2018,18-018385,Unarmed
102294988.0,2017,17-032603,None
101644147.0,2017,17-032603,None
101335990.0,2017,17-032603,None
101938169.0,2019,19-009055,Unarmed
101869000.0,2019,19-009055,Unarmed
101938169.0,2018,18-045481,Unarmed
101869000.0,2018,18-045481,Unarmed
100890538.0,2020,20-003176,Unarmed
100890538.0,2018,18-004148,None
100890538.0,2016,16-027838,None
100135435.0,2018,18-042084,Unarmed
100135435.0,2016,16-041941,None
101722737.0,2019,19-010609,Unarmed
101950551.0,2019,19-010609,Unarmed
101722737.0,2018,18-027786,Unarmed
101950551.0,2018,18-027786,Unarmed
43025767.0,2018,18-024220,Unarmed
43025767.0,2018,18-045459,Unarmed
43025767.0,2019,19-034708,Unarmed
101669461.0,2019,19-034823,Unarmed
102129244.0,2019,19-034823,Unarmed
101669461.0,2018,18-021278,Unarmed
102129244.0,2018,18-021278,Unarmed
101669461.0,2017,17-017613,None
102129244.0,2017,17-017613,None
102250782.0,2020,20-003603,Unarmed
101774470.0,2020,20-003603,Unarmed
102250782.0,2019,19-039971,Unarmed
101774470.0,2019,19-039971,Unarmed
102250782.0,2018,18-034735,Unarmed
101774470.0,2018,18-034735,Unarmed
101633338.0,2020,20-035612,Unarmed
101633338.0,2018,18-017167,Unarmed
100983839.0,2019,19-025017,Unarmed
102059444.0,2019,19-025017,Unarmed
100983839.0,2018,18-028735,Unarmed
102059444.0,2018,18-028735,Unarmed
100983839.0,2018,18-034183,Unarmed
102059444.0,2018,18-034183,Unarmed
100983839.0,2018,18-001730,None
102059444.0,2018,18-001730,None
102266717.0,2020,20-019088,Unarmed
102368853.0,2020,20-019088,Unarmed
100940331.0,2020,20-019088,Unarmed
102266717.0,2020,20-005887,Unarmed
102368853.0,2020,20-005887,Unarmed
100940331.0,2020,20-005887,Unarmed
102266717.0,2018,18-038051,Unarmed
102368853.0,2018,18-038051,Unarmed
100940331.0,2018,18-038051,Unarmed
102266717.0,2016,16-038707,None
102368853.0,2016,16-038707,None
100940331.0,2016,16-038707,None
102204179.0,2019,19-021629,Unarmed
102234995.0,2019,19-021629,Unarmed
102262924.0,2019,19-021629,Unarmed
102150736.0,2019,19-021629,Unarmed
101383599.0,2019,19-021629,Unarmed
102369259.0,2019,19-021629,Unarmed
102143969.0,2019,19-021629,Unarmed
102116446.0,2019,19-021629,Unarmed
102189851.0,2019,19-021629,Unarmed
102352051.0,2019,19-021629,Unarmed
102165519.0,2019,19-021629,Unarmed
102204179.0,2019,19-042437,Unarmed
102234995.0,2019,19-042437,Unarmed
102262924.0,2019,19-042437,Unarmed
102150736.0,2019,19-042437,Unarmed
101383599.0,2019,19-042437,Unarmed
102369259.0,2019,19-042437,Unarmed
102143969.0,2019,19-042437,Unarmed
102116446.0,2019,19-042437,Unarmed
102189851.0,2019,19-042437,Unarmed
102352051.0,2019,19-042437,Unarmed
102165519.0,2019,19-042437,Unarmed
102204179.0,2020,20-019123,Unarmed
102234995.0,2020,20-019123,Unarmed
102262924.0,2020,20-019123,Unarmed
102150736.0,2020,20-019123,Unarmed
101383599.0,2020,20-019123,Unarmed
102369259.0,2020,20-019123,Unarmed
102143969.0,2020,20-019123,Unarmed
102116446.0,2020,20-019123,Unarmed
102189851.0,2020,20-019123,Unarmed
102352051.0,2020,20-019123,Unarmed
102165519.0,2020,20-019123,Unarmed
102204179.0,2019,19-044282,Unarmed
102234995.0,2019,19-044282,Unarmed
102262924.0,2019,19-044282,Unarmed
102150736.0,2019,19-044282,Unarmed
101383599.0,2019,19-044282,Unarmed
102369259.0,2019,19-044282,Unarmed
102143969.0,2019,19-044282,Unarmed
102116446.0,2019,19-044282,Unarmed
102189851.0,2019,19-044282,Unarmed
102352051.0,2019,19-044282,Unarmed
102165519.0,2019,19-044282,Unarmed
102204179.0,2020,20-017134,Unarmed
102234995.0,2020,20-017134,Unarmed
102262924.0,2020,20-017134,Unarmed
102150736.0,2020,20-017134,Unarmed
101383599.0,2020,20-017134,Unarmed
102369259.0,2020,20-017134,Unarmed
102143969.0,2020,20-017134,Unarmed
102116446.0,2020,20-017134,Unarmed
102189851.0,2020,20-017134,Unarmed
102352051.0,2020,20-017134,Unarmed
102165519.0,2020,20-017134,Unarmed
102204179.0,2019,19-037599,Unarmed
102234995.0,2019,19-037599,Unarmed
102262924.0,2019,19-037599,Unarmed
102150736.0,2019,19-037599,Unarmed
101383599.0,2019,19-037599,Unarmed
102369259.0,2019,19-037599,Unarmed
102143969.0,2019,19-037599,Unarmed
102116446.0,2019,19-037599,Unarmed
102189851.0,2019,19-037599,Unarmed
102352051.0,2019,19-037599,Unarmed
102165519.0,2019,19-037599,Unarmed
102204179.0,2019,19-032965,Unarmed
102234995.0,2019,19-032965,Unarmed
102262924.0,2019,19-032965,Unarmed
102150736.0,2019,19-032965,Unarmed
101383599.0,2019,19-032965,Unarmed
102369259.0,2019,19-032965,Unarmed
102143969.0,2019,19-032965,Unarmed
102116446.0,2019,19-032965,Unarmed
102189851.0,2019,19-032965,Unarmed
102352051.0,2019,19-032965,Unarmed
102165519.0,2019,19-032965,Unarmed
102204179.0,2019,19-036744,Unarmed
102234995.0,2019,19-036744,Unarmed
102262924.0,2019,19-036744,Unarmed
102150736.0,2019,19-036744,Unarmed
101383599.0,2019,19-036744,Unarmed
102369259.0,2019,19-036744,Unarmed
102143969.0,2019,19-036744,Unarmed
102116446.0,2019,19-036744,Unarmed
102189851.0,2019,19-036744,Unarmed
102352051.0,2019,19-036744,Unarmed
102165519.0,2019,19-036744,Unarmed
102204179.0,2019,19-039278,Unarmed
102234995.0,2019,19-039278,Unarmed
102262924.0,2019,19-039278,Unarmed
102150736.0,2019,19-039278,Unarmed
101383599.0,2019,19-039278,Unarmed
102369259.0,2019,19-039278,Unarmed
102143969.0,2019,19-039278,Unarmed
102116446.0,2019,19-039278,Unarmed
102189851.0,2019,19-039278,Unarmed
102352051.0,2019,19-039278,Unarmed
102165519.0,2019,19-039278,Unarmed
102204179.0,2019,19-002604,Unarmed
102234995.0,2019,19-002604,Unarmed
102262924.0,2019,19-002604,Unarmed
102150736.0,2019,19-002604,Unarmed
101383599.0,2019,19-002604,Unarmed
102369259.0,2019,19-002604,Unarmed
102143969.0,2019,19-002604,Unarmed
102116446.0,2019,19-002604,Unarmed
102189851.0,2019,19-002604,Unarmed
102352051.0,2019,19-002604,Unarmed
102165519.0,2019,19-002604,Unarmed
102204179.0,2017,17-039017,None
102234995.0,2017,17-039017,None
102262924.0,2017,17-039017,None
102150736.0,2017,17-039017,None
101383599.0,2017,17-039017,None
102369259.0,2017,17-039017,None
102143969.0,2017,17-039017,None
102116446.0,2017,17-039017,None
102189851.0,2017,17-039017,None
102352051.0,2017,17-039017,None
102165519.0,2017,17-039017,None
102204179.0,2020,20-001557,Unarmed
102234995.0,2020,20-001557,Unarmed
102262924.0,2020,20-001557,Unarmed
102150736.0,2020,20-001557,Unarmed
101383599.0,2020,20-001557,Unarmed
102369259.0,2020,20-001557,Unarmed
102143969.0,2020,20-001557,Unarmed
102116446.0,2020,20-001557,Unarmed
102189851.0,2020,20-001557,Unarmed
102352051.0,2020,20-001557,Unarmed
102165519.0,2020,20-001557,Unarmed
102204179.0,2020,20-005306,Unarmed
102234995.0,2020,20-005306,Unarmed
102262924.0,2020,20-005306,Unarmed
102150736.0,2020,20-005306,Unarmed
101383599.0,2020,20-005306,Unarmed
102369259.0,2020,20-005306,Unarmed
102143969.0,2020,20-005306,Unarmed
102116446.0,2020,20-005306,Unarmed
102189851.0,2020,20-005306,Unarmed
102352051.0,2020,20-005306,Unarmed
102165519.0,2020,20-005306,Unarmed
102204179.0,2018,18-018527,Unarmed
102234995.0,2018,18-018527,Unarmed
102262924.0,2018,18-018527,Unarmed
102150736.0,2018,18-018527,Unarmed
101383599.0,2018,18-018527,Unarmed
102369259.0,2018,18-018527,Unarmed
102143969.0,2018,18-018527,Unarmed
102116446.0,2018,18-018527,Unarmed
102189851.0,2018,18-018527,Unarmed
102352051.0,2018,18-018527,Unarmed
102165519.0,2018,18-018527,Unarmed
10604680.0,2019,19-023436,Unarmed
10604680.0,2018,18-021092,Unarmed
10433574.0,2018,18-029365,Unarmed
101781872.0,2019,19-024218,Unarmed
102053314.0,2019,19-024218,Unarmed
102066071.0,2019,19-024218,Unarmed
101781872.0,2018,18-034771,Unarmed
102053314.0,2018,18-034771,Unarmed
102066071.0,2018,18-034771,Unarmed
100089411.0,2019,19-045606,Unarmed
101968922.0,2019,19-045606,Unarmed
102214135.0,2019,19-045606,Unarmed
101611603.0,2019,19-045606,Unarmed
100089411.0,2018,18-014734,Unarmed
101968922.0,2018,18-014734,Unarmed
102214135.0,2018,18-014734,Unarmed
101611603.0,2018,18-014734,Unarmed
101830534.0,2018,18-040461,Unarmed
101438752.0,2020,20-023263,Unarmed
