ArrestNumber,ArChgNumID,Severity,NIBRS_Group,NIBRS_Crime_Category
19-002830,19-002830-01,F,A,MOTOR VEHICLE THEFT
18-024547,18-024547-01,F,B,DRIVING UNDER THE INFLUENCE
18-040949,18-040949-01,M,A,ASSAULT OFFENSES
18-032229,18-032229-01,M,B,DRIVING UNDER THE INFLUENCE
18-013255,18-013255-01,M,B,DRIVING UNDER THE INFLUENCE
18-039840,18-039840-01,M,B,PUBLIC INTOXICATION
18-039003,18-039003-01,M,B,PUBLIC INTOXICATION
18-015030,18-015030-02,M,B,PUBLIC INTOXICATION
18-039007,18-039007-01,M,B,DISORDERLY CONDUCT
17-033221,17-033221-01,M,B,TRESPASS OF REAL PROPERTY
18-008848,18-008848-01,M,B,TRESPASS OF REAL PROPERTY
18-008607,18-008607-01,F,A,MOTOR VEHICLE THEFT
18-027608,18-027608-01,M,B,PUBLIC INTOXICATION
18-021607,18-021607-01,M,B,TRESPASS OF REAL PROPERTY
18-031648,18-031648-01,M,B,PUBLIC INTOXICATION
18-020730,18-020730-01,M,B,PUBLIC INTOXICATION
18-008644,18-008644-01,M,B,PUBLIC INTOXICATION
18-028924,18-028924-01,M,B,PUBLIC INTOXICATION
18-024201,18-024201-02,M,C,TRAFFIC VIOLATION - NON HAZARDOUS
18-027901,18-027901-01,M,B,PUBLIC INTOXICATION
18-034750,18-034750-01,M,B,DRIVING UNDER THE INFLUENCE
18-042206,18-042206-01,M,B,PUBLIC INTOXICATION
18-040351,18-040351-01,M,A,DRUG/ NARCOTIC VIOLATIONS
18-006903,18-006903-01,M,B,PUBLIC INTOXICATION
18-023019,18-023019-01,M,B,PUBLIC INTOXICATION
18-041308,18-041308-02,M,B,ALL OTHER OFFENSES
18-039890,18-039890-01,M,B,DRIVING UNDER THE INFLUENCE
18-028315,18-028315-01,M,B,DRIVING UNDER THE INFLUENCE
18-023747,18-023747-01,F,A,MOTOR VEHICLE THEFT
18-020362,18-020362-01,M,B,PUBLIC INTOXICATION
18-011518,18-011518-01,M,B,DRIVING UNDER THE INFLUENCE
18-018391,18-018391-01,M,B,PUBLIC INTOXICATION
18-031540,18-031540-01,M,B,PUBLIC INTOXICATION
18-009453,18-009453-01,M,B,PUBLIC INTOXICATION
18-007935,18-007935-01,M,B,PUBLIC INTOXICATION
18-028787,18-028787-01,M,B,DRIVING UNDER THE INFLUENCE
18-032503,18-032503-01,M,B,PUBLIC INTOXICATION
18-011522,18-011522-01,M,B,DRIVING UNDER THE INFLUENCE
18-033465,18-033465-02,F,B,ALL OTHER OFFENSES
18-015863,18-015863-01,M,B,DRIVING UNDER THE INFLUENCE
18-006142,18-006142-01,M,B,DRIVING UNDER THE INFLUENCE
18-023189,18-023189-01,M,B,PUBLIC INTOXICATION
18-036254,18-036254-01,M,B,PUBLIC INTOXICATION
18-034060,18-034060-01,M,B,TRESPASS OF REAL PROPERTY
16-004584,16-004584-01,M,B,PUBLIC INTOXICATION
18-027654,18-027654-01,M,B,PUBLIC INTOXICATION
18-018685,18-018685-01,M,A,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY
18-002042,18-002042-01,F,A,COUNTERFEITING / FORGERY
18-011461,18-011461-02,M,B,PUBLIC INTOXICATION
18-040164,18-040164-01,M,B,PUBLIC INTOXICATION
18-006494,18-006494-01,M,B,PUBLIC INTOXICATION
19-024218,19-024218-01,M,B,PUBLIC INTOXICATION
18-040040,18-040040-01,F,A,ASSAULT OFFENSES
18-015457,18-015457-01,M,A,DRUG/ NARCOTIC VIOLATIONS
18-014120,18-014120-01,M,B,DRIVING UNDER THE INFLUENCE
18-030669,18-030669-01,M,B,PUBLIC INTOXICATION
18-018722,18-018722-01,F,A,DRUG/ NARCOTIC VIOLATIONS
18-015762,18-015762-01,M,B,PUBLIC INTOXICATION
18-045574,18-045574-01,M,B,PUBLIC INTOXICATION
18-038635,18-038635-01,M,B,PUBLIC INTOXICATION
18-035805,18-035805-01,M,B,TRESPASS OF REAL PROPERTY
17-040596,17-040596-01,M,B,PUBLIC INTOXICATION
18-010736,18-010736-01,M,B,PUBLIC INTOXICATION
18-012993,18-012993-01,M,A,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY
18-014992,18-014992-01,M,B,PUBLIC INTOXICATION
18-015454,18-015454-01,F,A,ASSAULT OFFENSES
18-014016,18-014016-01,M,B,DRIVING UNDER THE INFLUENCE
19-043898,19-043898-01,M,A,DRUG/ NARCOTIC VIOLATIONS
18-025193,18-025193-01,M,B,PUBLIC INTOXICATION
19-001124,19-001124-01,M,B,PUBLIC INTOXICATION
18-020981,18-020981-01,M,B,TRESPASS OF REAL PROPERTY
18-018530,18-018530-02,M,B,ALL OTHER OFFENSES
18-008096,18-008096-01,F,A,DRUG/ NARCOTIC VIOLATIONS
18-043829,18-043829-01,M,B,PUBLIC INTOXICATION
18-030501,18-030501-02,M,A,DRUG/ NARCOTIC VIOLATIONS
19-007328,19-007328-01,F,A,MOTOR VEHICLE THEFT
19-011746,19-011746-01,M,B,PUBLIC INTOXICATION
18-033818,18-033818-01,M,B,TRESPASS OF REAL PROPERTY
17-044671,17-044671-01,M,B,PUBLIC INTOXICATION
18-018722,18-018722-02,M,B,PUBLIC INTOXICATION
18-004135,18-004135-01,M,B,PUBLIC INTOXICATION
18-013412,18-013412-01,M,B,PUBLIC INTOXICATION
18-043242,18-043242-01,M,A,ASSAULT OFFENSES
18-033655,18-033655-01,M,B,TRESPASS OF REAL PROPERTY
18-008863,18-008863-02,M,B,DRIVING UNDER THE INFLUENCE
17-029883,17-029883-01,M,B,PUBLIC INTOXICATION
18-027237,18-027237-01,M,B,PUBLIC INTOXICATION
18-032449,18-032449-01,M,B,PUBLIC INTOXICATION
18-040922,18-040922-01,M,B,ALL OTHER OFFENSES
18-029623,18-029623-01,M,A,DRUG/ NARCOTIC VIOLATIONS
18-003270,18-003270-01,M,B,PUBLIC INTOXICATION
18-004586,18-004586-01,M,B,PUBLIC INTOXICATION
17-028344,17-028344-01,M,B,PUBLIC INTOXICATION
18-014148,18-014148-01,M,B,PUBLIC INTOXICATION
18-012118,18-012118-01,F,A,ASSAULT OFFENSES
19-004588,19-004588-01,M,B,TRESPASS OF REAL PROPERTY
18-018448,18-018448-01,M,B,PUBLIC INTOXICATION
18-029419,18-029419-01,M,B,PUBLIC INTOXICATION
18-012924,18-012924-01,M,B,PUBLIC INTOXICATION
18-032531,18-032531-01,M,B,PUBLIC INTOXICATION
18-009698,18-009698-01,F,B,DRIVING UNDER THE INFLUENCE
18-006378,18-006378-01,F,A,ASSAULT OFFENSES
18-040039,18-040039-01,M,B,ALL OTHER OFFENSES
17-049786,17-049786-01,M,B,PUBLIC INTOXICATION
18-030054,18-030054-01,M,B,PUBLIC INTOXICATION
18-002904,18-002904-01,F,A,ASSAULT OFFENSES
18-026390,18-026390-02,M,B,ALL OTHER OFFENSES
18-036952,18-036952-01,M,B,PUBLIC INTOXICATION
18-029913,18-029913-01,M,B,PUBLIC INTOXICATION
18-045415,18-045415-01,M,B,PUBLIC INTOXICATION
18-043685,18-043685-01,M,B,DRIVING UNDER THE INFLUENCE
18-014880,18-014880-01,M,B,PUBLIC INTOXICATION
19-002897,19-002897-01,M,B,PUBLIC INTOXICATION
18-017713,18-017713-02,M,B,PUBLIC INTOXICATION
18-008873,18-008873-01,M,B,"FAMILY OFFENSES, NONVIOLENT"
18-032751,18-032751-01,F,B,"FAMILY OFFENSES, NONVIOLENT"
18-016115,18-016115-01,M,B,PUBLIC INTOXICATION
18-044693,18-044693-01,M,B,PUBLIC INTOXICATION
19-033877,19-033877-01,M,B,TRESPASS OF REAL PROPERTY
18-041529,18-041529-01,M,B,DRIVING UNDER THE INFLUENCE
18-037881,18-037881-01,M,B,PUBLIC INTOXICATION
17-042881,17-042881-01,M,B,PUBLIC INTOXICATION
18-010472,18-010472-01,M,A,DRUG/ NARCOTIC VIOLATIONS
20-010440,20-010440-01,F,A,DRUG/ NARCOTIC VIOLATIONS
18-005208,18-005208-01,M,B,PUBLIC INTOXICATION
18-026153,18-026153-01,M,B,PUBLIC INTOXICATION
18-043995,18-043995-01,F,B,ALL OTHER OFFENSES
18-033320,18-033320-04,M,B,ALL OTHER OFFENSES
18-027762,18-027762-01,M,B,PUBLIC INTOXICATION
18-016523,18-016523-01,M,B,PUBLIC INTOXICATION
20-020922,20-020922-01,M,A,DRUG/ NARCOTIC VIOLATIONS
18-017463,18-017463-01,M,C,TRAFFIC VIOLATION - NON HAZARDOUS
18-045170,18-045170-01,M,B,ALL OTHER OFFENSES
18-015116,18-015116-01,M,B,PUBLIC INTOXICATION
17-026099,17-026099-01,M,B,PUBLIC INTOXICATION
20-017748,20-017748-01,M,B,PUBLIC INTOXICATION
18-035872,18-035872-01,M,B,PUBLIC INTOXICATION
18-019340,18-019340-01,M,B,PUBLIC INTOXICATION
18-025542,18-025542-03,M,B,ALL OTHER OFFENSES
18-045703,18-045703-01,F,A,WEAPON LAW VIOLATIONS
18-037894,18-037894-02,M,B,PUBLIC INTOXICATION
18-028611,18-028611-01,F,A,DRUG/ NARCOTIC VIOLATIONS
18-003327,18-003327-01,M,B,PUBLIC INTOXICATION
18-031550,18-031550-01,M,B,PUBLIC INTOXICATION
18-042587,18-042587-02,M,B,ALL OTHER OFFENSES
18-002331,18-002331-01,M,B,ALL OTHER OFFENSES
17-046860,17-046860-01,F,A,DRUG/ NARCOTIC VIOLATIONS
18-041863,18-041863-01,M,B,PUBLIC INTOXICATION
18-005657,18-005657-01,M,B,PUBLIC INTOXICATION
17-038132,17-038132-02,M,B,PUBLIC INTOXICATION
18-026601,18-026601-01,M,B,PUBLIC INTOXICATION
18-039351,18-039351-01,M,B,PUBLIC INTOXICATION
19-033418,19-033418-01,M,A,DRUG/ NARCOTIC VIOLATIONS
19-008600,19-008600-01,M,B,TRESPASS OF REAL PROPERTY
18-011618,18-011618-01,M,B,DRIVING UNDER THE INFLUENCE
18-028537,18-028537-01,F,A,DRUG/ NARCOTIC VIOLATIONS
17-049596,17-049596-01,M,B,PUBLIC INTOXICATION
18-006853,18-006853-01,M,A,DRUG/ NARCOTIC VIOLATIONS
18-003083,18-003083-01,F,A,LARCENY/ THEFT OFFENSES
18-012501,18-012501-01,M,B,PUBLIC INTOXICATION
18-023502,18-023502-02,M,A,WEAPON LAW VIOLATIONS
18-026902,18-026902-01,M,A,EMBEZZELMENT
17-012201,17-012201-01,M,B,PUBLIC INTOXICATION
17-014041,17-014041-01,M,B,PUBLIC INTOXICATION
18-022251,18-022251-01,M,B,PUBLIC INTOXICATION
18-033420,18-033420-01,M,B,DRIVING UNDER THE INFLUENCE
18-015606,18-015606-01,M,A,WEAPON LAW VIOLATIONS
18-043249,18-043249-01,M,A,ASSAULT OFFENSES
18-038611,18-038611-01,M,B,DRIVING UNDER THE INFLUENCE
18-030981,18-030981-01,M,B,TRESPASS OF REAL PROPERTY
18-016138,18-016138-01,M,B,PUBLIC INTOXICATION
17-027579,17-027579-01,M,B,PUBLIC INTOXICATION
18-018075,18-018075-01,F,A,MOTOR VEHICLE THEFT
18-010378,18-010378-01,M,B,PUBLIC INTOXICATION
19-019804,19-019804-01,M,B,DRIVING UNDER THE INFLUENCE
18-040856,18-040856-01,M,B,PUBLIC INTOXICATION
18-029621,18-029621-01,M,B,PUBLIC INTOXICATION
18-022849,18-022849-01,F,B,DRIVING UNDER THE INFLUENCE
18-031779,18-031779-01,F,A,DRUG/ NARCOTIC VIOLATIONS
18-045843,18-045843-01,M,B,PUBLIC INTOXICATION
17-032144,17-032144-01,M,B,DRIVING UNDER THE INFLUENCE
18-002893,18-002893-01,F,A,DRUG/ NARCOTIC VIOLATIONS
18-011500,18-011500-01,M,B,PUBLIC INTOXICATION
18-032597,18-032597-01,M,B,PUBLIC INTOXICATION
18-038621,18-038621-02,M,B,PUBLIC INTOXICATION
18-041974,18-041974-01,M,B,PUBLIC INTOXICATION
18-011521,18-011521-01,M,B,PUBLIC INTOXICATION
18-018361,18-018361-01,M,B,PUBLIC INTOXICATION
18-033793,18-033793-01,M,B,PUBLIC INTOXICATION
19-012160,19-012160-01,M,A,ASSAULT OFFENSES
18-024928,18-024928-01,M,B,DRIVING UNDER THE INFLUENCE
18-016826,18-016826-01,M,B,PUBLIC INTOXICATION
17-009841,17-009841-01,M,A,DRUG/ NARCOTIC VIOLATIONS
18-034734,18-034734-01,M,B,PUBLIC INTOXICATION
18-039572,18-039572-01,M,B,PUBLIC INTOXICATION
20-030179,20-030179-01,M,B,PUBLIC INTOXICATION
18-023437,18-023437-01,M,A,LARCENY/ THEFT OFFENSES
18-041007,18-041007-01,M,A,DRUG/ NARCOTIC VIOLATIONS
18-032715,18-032715-01,M,B,TRESPASS OF REAL PROPERTY
18-003071,18-003071-01,M,B,PUBLIC INTOXICATION
18-006871,18-006871-01,M,B,PUBLIC INTOXICATION
18-041690,18-041690-01,M,B,PUBLIC INTOXICATION
18-032322,18-032322-02,M,B,PUBLIC INTOXICATION
18-037931,18-037931-01,M,B,PUBLIC INTOXICATION
18-000399,18-000399-01,F,A,DRUG/ NARCOTIC VIOLATIONS
20-002655,20-002655-01,M,B,PUBLIC INTOXICATION
19-003763,19-003763-01,M,B,PUBLIC INTOXICATION
18-006807,18-006807-01,M,B,PUBLIC INTOXICATION
18-019810,18-019810-01,M,B,"FAMILY OFFENSES, NONVIOLENT"
18-009845,18-009845-01,M,A,LARCENY/ THEFT OFFENSES
18-008305,18-008305-01,M,B,PUBLIC INTOXICATION
18-006618,18-006618-01,M,B,PUBLIC INTOXICATION
18-042325,18-042325-01,M,B,PUBLIC INTOXICATION
18-008347,18-008347-01,M,B,TRESPASS OF REAL PROPERTY
18-044586,18-044586-01,M,A,LARCENY/ THEFT OFFENSES
17-041515,17-041515-01,M,B,PUBLIC INTOXICATION
18-014703,18-014703-01,M,B,PUBLIC INTOXICATION
18-011853,18-011853-01,M,B,PUBLIC INTOXICATION
18-023664,18-023664-01,M,B,PUBLIC INTOXICATION
18-015016,18-015016-01,F,B,DRIVING UNDER THE INFLUENCE
19-010952,19-010952-01,F,A,WEAPON LAW VIOLATIONS
17-038487,17-038487-01,M,B,PUBLIC INTOXICATION
18-025141,18-025141-01,M,A,LARCENY/ THEFT OFFENSES
18-039011,18-039011-01,M,B,PUBLIC INTOXICATION
18-041511,18-041511-01,M,B,PUBLIC INTOXICATION
18-034345,18-034345-01,M,B,PUBLIC INTOXICATION
18-026084,18-026084-01,M,B,TRESPASS OF REAL PROPERTY
18-015894,18-015894-01,M,B,DRIVING UNDER THE INFLUENCE
16-039437,16-039437-01,M,B,PUBLIC INTOXICATION
18-036728,18-036728-01,F,A,ASSAULT OFFENSES
18-008930,18-008930-02,M,B,DRIVING UNDER THE INFLUENCE
18-015151,18-015151-01,M,B,PUBLIC INTOXICATION
18-039034,18-039034-01,M,B,PUBLIC INTOXICATION
18-002050,18-002050-01,M,A,DRUG/ NARCOTIC VIOLATIONS
18-030985,18-030985-01,F,A,MOTOR VEHICLE THEFT
18-022022,18-022022-01,M,B,PUBLIC INTOXICATION
18-010943,18-010943-01,F,A,LARCENY/ THEFT OFFENSES
20-002189,20-002189-01,M,B,PUBLIC INTOXICATION
18-014427,18-014427-02,M,B,ALL OTHER OFFENSES
18-021943,18-021943-01,M,B,DRIVING UNDER THE INFLUENCE
18-044148,18-044148-01,M,B,PUBLIC INTOXICATION
18-010836,18-010836-01,M,B,PUBLIC INTOXICATION
18-003294,18-003294-01,F,B,DRIVING UNDER THE INFLUENCE
17-039271,17-039271-01,M,B,PUBLIC INTOXICATION
18-027591,18-027591-01,M,B,PUBLIC INTOXICATION
17-035054,17-035054-01,M,B,PUBLIC INTOXICATION
18-033095,18-033095-01,M,C,TRAFFIC VIOLATION - HAZARDOUS
18-042188,18-042188-01,M,B,DRIVING UNDER THE INFLUENCE
17-040854,17-040854-01,M,B,PUBLIC INTOXICATION
18-023510,18-023510-03,M,B,ALL OTHER OFFENSES
18-012285,18-012285-01,M,B,PUBLIC INTOXICATION
18-026571,18-026571-01,M,B,PUBLIC INTOXICATION
18-028932,18-028932-01,M,B,PUBLIC INTOXICATION
18-042921,18-042921-01,M,B,PUBLIC INTOXICATION
18-008914,18-008914-01,M,B,PUBLIC INTOXICATION
17-049685,17-049685-01,M,B,PUBLIC INTOXICATION
18-041904,18-041904-01,M,B,TRESPASS OF REAL PROPERTY
18-005569,18-005569-01,M,A,ASSAULT OFFENSES
18-027567,18-027567-01,M,B,PUBLIC INTOXICATION
18-042151,18-042151-01,M,B,TRESPASS OF REAL PROPERTY
18-010616,18-010616-01,M,A,DRUG/ NARCOTIC VIOLATIONS
18-021641,18-021641-02,M,C,TRAFFIC VIOLATION - NON HAZARDOUS
20-037611,20-037611-02,M,B,ALL OTHER OFFENSES
18-039226,18-039226-01,M,B,PUBLIC INTOXICATION
18-041308,18-041308-01,F,A,DRUG/ NARCOTIC VIOLATIONS
18-031502,18-031502-01,M,B,TRESPASS OF REAL PROPERTY
16-005409,16-005409-01,M,B,PUBLIC INTOXICATION
18-004681,18-004681-01,M,B,PUBLIC INTOXICATION
18-022533,18-022533-01,M,B,PUBLIC INTOXICATION
18-022794,18-022794-01,M,B,PUBLIC INTOXICATION
18-027649,18-027649-01,F,A,ASSAULT OFFENSES
18-016359,18-016359-01,F,A,LARCENY/ THEFT OFFENSES
18-042009,18-042009-01,F,A,LARCENY/ THEFT OFFENSES
18-020198,18-020198-01,M,B,PUBLIC INTOXICATION
18-016428,18-016428-04,M,C,TRAFFIC VIOLATION - HAZARDOUS
18-028927,18-028927-01,M,B,DRIVING UNDER THE INFLUENCE
18-032505,18-032505-01,M,B,DRIVING UNDER THE INFLUENCE
18-015212,18-015212-01,M,B,PUBLIC INTOXICATION
18-014862,18-014862-01,M,B,PUBLIC INTOXICATION
18-044469,18-044469-01,F,B,ALL OTHER OFFENSES
18-019895,18-019895-01,M,B,PUBLIC INTOXICATION
19-005192,19-005192-01,M,B,PUBLIC INTOXICATION
18-019799,18-019799-01,M,B,PUBLIC INTOXICATION
18-017728,18-017728-01,M,B,DRIVING UNDER THE INFLUENCE
18-012949,18-012949-01,F,A,ROBBERY
18-029665,18-029665-01,M,B,PUBLIC INTOXICATION
18-039908,18-039908-01,M,B,PUBLIC INTOXICATION
18-012866,18-012866-01,M,B,PUBLIC INTOXICATION
18-021591,18-021591-01,M,B,DRIVING UNDER THE INFLUENCE
18-007491,18-007491-01,M,A,DRUG/ NARCOTIC VIOLATIONS
17-014031,17-014031-02,M,B,PUBLIC INTOXICATION
18-002508,18-002508-01,M,B,DISORDERLY CONDUCT
18-036625,18-036625-01,M,B,PUBLIC INTOXICATION
18-042144,18-042144-01,M,B,PUBLIC INTOXICATION
18-035331,18-035331-01,M,B,TRESPASS OF REAL PROPERTY
18-023131,18-023131-01,F,A,DRUG/ NARCOTIC VIOLATIONS
18-006518,18-006518-01,M,B,PUBLIC INTOXICATION
18-013214,18-013214-01,M,B,PUBLIC INTOXICATION
18-015623,18-015623-01,M,B,PUBLIC INTOXICATION
18-022683,18-022683-01,M,B,DRIVING UNDER THE INFLUENCE
18-004990,18-004990-02,F,B,ALL OTHER OFFENSES
19-008590,19-008590-01,M,B,DRIVING UNDER THE INFLUENCE
19-027908,19-027908-03,F,A,DRUG/ NARCOTIC VIOLATIONS
18-023224,18-023224-01,M,A,ASSAULT OFFENSES
18-043528,18-043528-01,M,B,PUBLIC INTOXICATION
18-006486,18-006486-01,M,B,PUBLIC INTOXICATION
18-017061,18-017061-01,F,A,ROBBERY
18-032223,18-032223-01,M,B,PUBLIC INTOXICATION
18-027312,18-027312-01,F,A,DRUG/ NARCOTIC VIOLATIONS
18-017963,18-017963-01,M,B,PUBLIC INTOXICATION
18-026166,18-026166-01,M,B,DRIVING UNDER THE INFLUENCE
18-012462,18-012462-04,M,C,TRAFFIC VIOLATION - HAZARDOUS
18-036934,18-036934-01,F,A,LARCENY/ THEFT OFFENSES
18-009208,18-009208-01,M,B,PUBLIC INTOXICATION
18-029596,18-029596-01,M,A,DRUG/ NARCOTIC VIOLATIONS
20-025010,20-025010-05,F,B,ALL OTHER OFFENSES
18-014993,18-014993-01,M,B,PUBLIC INTOXICATION
18-032187,18-032187-02,M,B,PUBLIC INTOXICATION
16-009473,16-009473-01,M,B,PUBLIC INTOXICATION
17-021122,17-021122-01,M,A,LARCENY/ THEFT OFFENSES
18-043031,18-043031-01,M,B,PUBLIC INTOXICATION
18-032705,18-032705-01,M,B,DISORDERLY CONDUCT
18-042006,18-042006-01,M,B,PUBLIC INTOXICATION
17-044635,17-044635-01,M,B,PUBLIC INTOXICATION
18-042727,18-042727-01,M,B,DRIVING UNDER THE INFLUENCE
19-038002,19-038002-01,F,A,LARCENY/ THEFT OFFENSES
18-035122,18-035122-01,M,B,PUBLIC INTOXICATION
16-018206,16-018206-01,M,B,PUBLIC INTOXICATION
18-020643,18-020643-02,M,A,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY
16-048411,16-048411-01,F,A,BURGLARY/ BREAKING & ENTERING
18-042240,18-042240-02,M,B,ALL OTHER OFFENSES
18-019387,18-019387-01,M,B,TRESPASS OF REAL PROPERTY
18-032062,18-032062-01,M,B,PUBLIC INTOXICATION
